"Temperature","Light","Time","Replicate"
"21","L",0,1
"21","L",0,2
"21","L",0,3
"21","L",0,4
"21","L",0,5
"21","L",0,6
"21","L",5,1
"21","L",5,2
"21","L",5,3
"21","L",5,4
"21","L",5,5
"21","L",5,6
"21","L",10,1
"21","L",10,2
"21","L",10,3
"21","L",10,4
"21","L",10,5
"21","L",10,6
"21","L",20,1
"21","L",20,2
"21","L",20,3
"21","L",20,4
"21","L",20,5
"21","L",20,6
"21","L",40,1
"21","L",40,2
"21","L",40,3
"21","L",40,4
"21","L",40,5
"21","L",40,6
"21","L",60,1
"21","L",60,2
"21","L",60,3
"21","L",60,4
"21","L",60,5
"21","L",60,6
"21","L",80,1
"21","L",80,2
"21","L",80,3
"21","L",80,4
"21","L",80,5
"21","L",80,6
"21","L",100,1
"21","L",100,2
"21","L",100,3
"21","L",100,4
"21","L",100,5
"21","L",100,6
"21","L",120,1
"21","L",120,2
"21","L",120,3
"21","L",120,4
"21","L",120,5
"21","L",140,1
"21","L",140,2
"21","L",140,3
"21","L",140,4
"21","L",140,5
"21","L",140,6
"21","L",160,1
"21","L",160,2
"21","L",160,3
"21","L",160,4
"21","L",160,5
"21","L",160,6
"21","L",180,1
"21","L",180,2
"21","L",180,3
"21","L",180,4
"21","L",180,5
"21","L",180,6
"21","L",200,1
"21","L",200,2
"21","L",200,3
"21","L",200,4
"21","L",200,5
"21","L",200,6
"21","L",220,1
"21","L",220,2
"21","L",220,3
"21","L",220,4
"21","L",220,5
"21","L",220,6
"21","L",240,1
"21","L",240,2
"21","L",240,3
"21","L",240,4
"21","L",240,5
"21","L",240,6
"21","L",260,1
"21","L",260,2
"21","L",260,3
"21","L",260,4
"21","L",260,5
"21","L",260,6
"21","L",280,1
"21","L",280,2
"21","L",280,3
"21","L",280,4
"21","L",280,5
"21","L",280,6
"21","L",300,1
"21","L",300,2
"21","L",300,3
"21","L",300,4
"21","L",300,5
"21","L",300,6
"21","L",320,1
"21","L",320,2
"21","L",320,3
"21","L",320,4
"21","L",320,5
"21","L",320,6
"21","L",340,1
"21","L",340,2
"21","L",340,3
"21","L",340,4
"21","L",340,5
"21","L",340,6
"21","L",360,1
"21","L",360,2
"21","L",360,3
"21","L",360,4
"21","L",360,5
"21","L",640,1
"21","L",640,2
"21","L",640,3
"21","L",640,4
"21","L",640,5
"21","L",640,6
